schedule	Period	Subject	Rank
schedule	56	5	6
schedule	56	6	2
schedule	57	1	1
schedule	57	2	5
schedule	57	3	4
schedule	57	4	6
schedule	57	5	3
schedule	57	6	2
schedule	58	1	4
schedule	58	2	5
schedule	58	3	6
schedule	58	4	1
schedule	58	5	2
schedule	58	6	3
schedule	59	1	1
schedule	59	2	6
schedule	59	3	3
schedule	59	4	2
schedule	59	5	4
schedule	59	6	5
schedule	60	1	4
schedule	60	2	5
schedule	60	3	3
schedule	60	4	1
schedule	60	5	2
schedule	60	6	6
schedule	61	1	1
schedule	61	2	5
schedule	61	3	3
schedule	61	4	4
schedule	61	5	2
schedule	61	6	6
schedule	62	1	4
schedule	62	2	1
schedule	62	3	5
schedule	62	4	2
schedule	62	5	6
schedule	62	6	3
schedule	63	1	1
schedule	63	2	4
schedule	63	3	5
schedule	63	4	2
schedule	63	5	6
schedule	63	6	3
schedule	64	1	1
schedule	64	2	2
schedule	64	3	4
schedule	64	4	6
schedule	64	5	3
schedule	64	6	5
schedule	65	1	1
schedule	65	2	3
schedule	65	3	5
schedule	65	4	6
schedule	65	5	2
schedule	65	6	4
schedule	66	1	4
schedule	66	2	5
schedule	66	3	3
schedule	66	4	1
schedule	66	5	2
schedule	66	6	6
schedule	67	1	4
schedule	67	2	3
schedule	67	3	6
schedule	67	4	5
schedule	67	5	1
schedule	67	6	2
schedule	68	1	4
schedule	68	2	1
schedule	68	3	5
schedule	68	4	2
schedule	68	5	6
schedule	68	6	3
schedule	69	1	4
schedule	69	2	3
schedule	69	3	6
schedule	69	4	5
schedule	69	5	1
schedule	69	6	2
schedule	70	1	4
schedule	70	2	3
schedule	70	3	5
schedule	70	4	6
schedule	70	5	2
schedule	70	6	1
schedule	71	1	1
schedule	71	2	6
schedule	71	3	5
schedule	71	4	3
schedule	71	5	2
schedule	71	6	4
schedule	72	1	1
schedule	72	2	2
schedule	72	3	6
schedule	72	4	4
schedule	72	5	5
schedule	72	6	3
schedule	73	1	1
schedule	73	2	6
schedule	73	3	2
schedule	73	4	3
schedule	73	5	5
schedule	73	6	4
schedule	74	1	4
schedule	74	2	2
schedule	74	3	1
schedule	74	4	3
schedule	74	5	6
schedule	74	6	5
schedule	75	1	4
schedule	75	2	3
schedule	75	3	5
schedule	75	4	6
schedule	75	5	2
schedule	75	6	1
schedule	76	1	4
schedule	76	2	6
schedule	76	3	2
schedule	76	4	3
schedule	76	5	5
schedule	76	6	1
schedule	77	1	4
schedule	77	2	5
schedule	77	3	1
schedule	77	4	6
schedule	77	5	3
schedule	77	6	2
schedule	78	1	1
schedule	78	2	3
schedule	78	3	6
schedule	78	4	5
schedule	78	5	4
schedule	78	6	2
schedule	79	1	4
schedule	79	2	5
schedule	79	3	1
schedule	79	4	6
schedule	79	5	3
schedule	79	6	2
schedule	80	1	1
schedule	80	2	3
schedule	80	3	6
schedule	80	4	2
schedule	80	5	4
schedule	80	6	5
schedule	81	1	4
schedule	81	2	1
schedule	81	3	5
schedule	81	4	2
schedule	81	5	3
schedule	81	6	6
schedule	82	1	1
schedule	82	2	2
schedule	82	3	3
schedule	82	4	4
schedule	82	5	5
schedule	82	6	6
schedule	83	1	1
schedule	83	2	2
schedule	83	3	6
schedule	83	4	4
schedule	83	5	5
schedule	83	6	3
schedule	84	1	1
schedule	84	2	3
schedule	84	3	6
schedule	84	4	5
schedule	84	5	4
schedule	84	6	2
schedule	85	1	1
schedule	85	2	2
schedule	85	3	3
schedule	85	4	4
schedule	85	5	5
schedule	85	6	6
schedule	86	1	4
schedule	86	2	6
schedule	86	3	5
schedule	86	4	3
schedule	86	5	2
schedule	86	6	1
schedule	87	1	1
schedule	87	2	5
schedule	87	3	4
schedule	87	4	6
schedule	87	5	3
schedule	87	6	2
schedule	88	1	1
schedule	88	2	4
schedule	88	3	2
schedule	88	4	5
schedule	88	5	3
schedule	88	6	6
schedule	89	1	1
schedule	89	2	6
schedule	89	3	3
schedule	89	4	2
schedule	89	5	4
schedule	89	6	5
schedule	90	1	4
schedule	90	2	2
schedule	90	3	6
schedule	90	4	1
schedule	90	5	5
schedule	90	6	3
schedule	91	1	1
schedule	91	2	3
schedule	91	3	2
schedule	91	4	6
schedule	91	5	5
schedule	91	6	4
schedule	92	1	1
schedule	92	2	2
schedule	92	3	4
schedule	92	4	6
schedule	92	5	3
schedule	92	6	5
schedule	93	1	1
schedule	93	2	6
schedule	93	3	2
schedule	93	4	3
schedule	93	5	5
schedule	93	6	4
schedule	94	1	1
schedule	94	2	3
schedule	94	3	5
schedule	94	4	6
schedule	94	5	2
schedule	94	6	4
schedule	95	1	4
schedule	95	2	1
schedule	95	3	5
schedule	95	4	2
schedule	95	5	3
schedule	95	6	6
schedule	96	1	1
schedule	96	2	5
schedule	96	3	4
schedule	96	4	6
schedule	96	5	3
schedule	96	6	2
schedule	97	1	4
schedule	97	2	6
schedule	97	3	3
schedule	97	4	5
schedule	97	5	1
schedule	97	6	2
schedule	98	1	1
schedule	98	2	4
schedule	98	3	2
schedule	98	4	5
schedule	98	5	6
schedule	98	6	3
schedule	99	1	1
schedule	99	2	2
schedule	99	3	3
schedule	99	4	4
schedule	99	5	5
schedule	99	6	6
schedule	100	1	4
schedule	100	2	1
schedule	100	3	5
schedule	100	4	2
schedule	100	5	3
schedule	100	6	6
